"","Team","Klasse","Beker","FIDE","KNSB","ClubNaam","Lat","Long"
"103","Philidor Leiden 2","3C","",1919,1903,"Philidor Leiden",52.1563606,4.46522
"104","PION","2D","D",2094,2096,"PION",51.7757607,5.9353099
"105","Promotie","3E","C",2048,2007,"Promotie",52.0569305,4.4733801
"106","PSV/DoDO","3D","B",1977,1961,"PSV/DoDO",52.2527675,5.612187
"107","EGGERT Purmerend","1B","C",2227,2213,"Purmerend",52.5104294,4.9658699
"108","Rijswijk","3F","C",2045,2018,"Rijswijk",52.0563507,4.3354001
"109","Rokado","2C","D",2072,2082,"Rokado",51.81251,4.33713
"110","RSC 't Pionneke","3H","",2093,2072,"RSC ’t Pionneke",51.1917114,5.9857302
"111","RSR Ivoren Toren","2C","C",2089,2074,"RSR Ivoren Toren",51.9285698,4.48593
"112","Landau Axel","3F","",2095,2070,"S. Landau Axel",51.2686691,3.89907
"113","Santpoort 2","3E","",1963,1924,"Santpoort",52.4333,4.66116
"114","Santpoort","2C","B",2190,2191,"Santpoort",52.4333,4.66116
"115","Schaakhuis","3F","C",2122,2034,"Schaakhuis",52.07311,4.31117
"116","MuConsult Apeldoorn","M","B",2360,2358,"Schaakstad Apeldoorn",52.2249413,5.97609
"117","MuConsult Apeldoorn 2","3C","",2126,2111,"Schaakstad Apeldoorn",52.2249413,5.97609
"118","Schaakwoude","3A","A",1942,1961,"Schaakwoude",53.2898,6.00361
"119","SG Max Euwe 2","2B","",2065,2064,"SG Max Euwe",52.2050285,6.8822498
"120","SG Max Euwe 3","2A","",2077,2062,"SG Max Euwe",52.2050285,6.8822498
"121","SG Max Euwe","1A","A",2200,2183,"SG Max Euwe",52.2050285,6.8822498
"122","SG Max Euwe 4","3B","",1948,1855,"SG Max Euwe",52.2050285,6.8822498
"123","SISSA 2","2A","",2231,2235,"SISSA",53.2231903,6.5890598
"124","SISSA","M","A",2414,2414,"SISSA",53.2231903,6.5890598
"125","SISSA 3","3A","",1975,1944,"SISSA",53.2231903,6.5890598
"126","Sliedrecht","3F","D",2016,2038,"Sliedrecht",51.8229294,4.7884598
"127","Sneek","3A","",1984,1997,"Sneek",53.0368805,5.6513901
"128","SOPSWEPS'29","2B","",2190,2150,"SOPSWEPS'29",52.3767014,4.90167
"129","Souburg","3F","",1973,1987,"Souburg",51.4619293,3.6042199
"130","Spassky's","3B","A",1994,2001,"Spassky's",53.2231903,6.5890598
"131","Spijkenisse","2B","C",2159,2151,"Spijkenisse",51.8500099,4.3257098
"132","SSC 1922","1A","B",2142,2125,"SSC 1922",52.1805992,5.3042002
"133","Staunton","3A","A",2003,1988,"Staunton",53.2231903,6.5890598
"134","Oud Zuylen Utrecht 2","3D","",2067,2038,"Utrecht",52.0809898,5.0855699
"135","Oud Zuylen Utrecht","1B","B",2208,2205,"Utrecht",52.0809898,5.0855699
"136","UVS","1B","D",2288,2282,"UVS",51.8485489,5.8622799
"137","UVS 2","3D","",2047,2013,"UVS",51.8485489,5.8622799
"138","VAS 2","3C","",1981,1967,"VAS",52.3549385,4.9124999
"139","VAS","2A","B",2135,2138,"VAS",52.3549385,4.9124999
"140","Veldhoven","3H","",2056,1991,"Veldhoven",51.4054985,5.3966699
"141","Venlo","1B","",2201,2187,"Venlo",51.3853188,6.1919198
"142","Vianen/DVP","2D","",2193,2197,"Vianen/DVP",51.716629,5.8495898
"143","Voerendaal","1B","D",2316,2311,"Voerendaal",50.8773193,5.8860002
"144","Voerendaal 2","2D","",2103,2095,"Voerendaal",50.8773193,5.8860002
"145","Voerendaal 3","3H","",1975,1966,"Voerendaal",50.8773193,5.8860002
"146","Voorschoten 2","3F","",2025,2026,"Voorschoten",52.1268387,4.4474201
"147","Voorschoten","2B","C",2147,2122,"Voorschoten",52.1268387,4.4474201
"148","Wageningen","1B","A",2254,2250,"Wageningen",51.9775085,5.66187
"149","Wageningen 2","3C","",2025,1996,"Wageningen",51.9775085,5.66187
"150","WES","3A","A",1903,1906,"WES",52.87004,6.00704
"151","Westlandse Schaak Combinatie","2C","D",2114,2082,"Westlandse Schaakcombinatie",51.9759598,4.2511001
"152","WLC","3H","D",2082,2030,"WLC",51.4679604,5.45783
"153","WSG Winterswijk","3B","B",1951,1935,"WSG Winterswijk",51.9698296,6.72158
"154","WSG Winterswijk (SBO)","Regionaal","B",0,0,"WSG Winterswijk",51.9698296,6.72158
"155","Zevenaar","3B","D",1996,1967,"Zevenaar",51.9272003,6.0757999
"156","ZSC-Saende","2B","",2100,2062,"ZSC-Saende",52.4471245,4.8439746
"157","ZSG","3A","A",2037,1985,"ZSG",52.5058098,6.09308
"158","Zukertort Amstelveen 3","3C","",2054,1998,"Zukertort Amstelveen",52.3152084,4.8633599
"159","Zukertort Amstelveen 2","1B","",2144,2160,"Zukertort Amstelveen",52.3152084,4.8633599
"160","Zukertort Amstelveen 1","1A","B",2217,2222,"Zukertort Amstelveen",52.3152084,4.8633599
